HDI rank,Country,1990,2000,2010,2015,2020,2021,2022,2023
125,Bhutan,..,..,0.593,0.637,0.688,0.691,0.695,0.698
126,Eswatini,0.570,0.493,0.534,0.607,0.657,0.658,0.695,0.695
126,Iraq,0.531,0.592,0.650,0.675,0.680,0.687,0.695,0.695
128,Tajikistan,..,0.554,0.639,0.658,0.664,0.672,0.687,0.691
129,Tuvalu,0.566,0.610,0.636,0.658,0.681,0.681,0.686,0.689
130,Bangladesh,0.397,0.477,0.561,0.621,0.663,0.663,0.680,0.685
130,India,0.446,0.501,0.590,0.633,0.652,0.647,0.676,0.685
132,El Salvador,0.523,0.607,0.660,0.667,0.660,0.663,0.674,0.678
133,Equatorial Guinea,..,0.508,0.612,0.656,0.668,0.671,0.677,0.674
133,Palestine,..,..,0.691,0.712,0.718,0.718,0.733,0.674
135,Cabo Verde,..,0.585,0.648,0.658,0.647,0.651,0.664,0.668
136,Namibia,0.597,0.561,0.591,0.630,0.647,0.631,0.649,0.665
137,Guatemala,0.499,0.563,0.623,0.638,0.645,0.639,0.655,0.662
138,Congo,0.573,0.545,0.609,0.643,0.643,0.643,0.644,0.649
139,Honduras,0.516,0.558,0.596,0.610,0.625,0.628,0.643,0.645
140,Kiribati,..,..,0.600,0.623,0.632,0.631,0.642,0.644
141,Sao Tome and Principe,..,..,0.564,0.608,0.628,0.631,0.636,0.637
142,Timor-Leste,..,0.507,0.645,0.628,0.650,0.644,0.633,0.634
143,Ghana,0.432,0.487,0.558,0.588,0.614,0.618,0.625,0.628
143,Kenya,0.485,0.500,0.552,0.583,0.600,0.608,0.626,0.628
145,Nepal,0.404,0.471,0.551,0.575,0.599,0.596,0.605,0.622
146,Vanuatu,..,..,0.582,0.599,0.617,0.615,0.621,0.621
147,Laos,0.409,0.473,0.556,0.604,0.616,0.613,0.614,0.617
148,Angola,..,0.391,0.528,0.603,0.610,0.609,0.615,0.616
149,Micronesia,..,0.596,0.603,0.604,0.609,0.611,0.614,0.615
150,Myanmar(Burma),0.347,0.415,0.515,0.566,0.609,0.605,0.606,0.609
151,Cambodia,0.387,0.438,0.543,0.562,0.595,0.594,0.602,0.606
152,Comoros,..,0.461,0.534,0.565,0.592,0.594,0.602,0.603
153,Zimbabwe,0.500,0.458,0.512,0.567,0.582,0.581,0.594,0.598
154,Zambia,0.422,0.429,0.533,0.565,0.578,0.574,0.589,0.595
155,Cameroon,0.448,0.439,0.529,0.575,0.579,0.574,0.581,0.588
156,Solomon Islands,..,0.547,0.564,0.576,0.579,0.577,0.583,0.584
157,Ivory Coast,0.389,0.419,0.465,0.519,0.553,0.557,0.565,0.582
157,Uganda,0.342,0.407,0.514,0.547,0.571,0.573,0.578,0.582
159,Rwanda,..,0.340,0.504,0.525,0.555,0.562,0.570,0.578
160,Papua New Guinea,0.403,0.456,0.503,0.543,0.567,0.567,0.572,0.576
161,Togo,0.412,0.448,0.483,0.523,0.554,0.560,0.567,0.571
162,Syria,0.572,0.594,0.669,0.549,0.570,0.571,0.571,0.564
163,Mauritania,0.396,0.468,0.525,0.551,0.554,0.553,0.562,0.563
164,Nigeria,0.379,0.435,0.502,0.530,0.547,0.554,0.557,0.560
165,Tanzania,0.381,0.414,0.513,0.520,0.554,0.548,0.554,0.555
166,Haiti,0.461,0.497,0.452,0.552,0.555,0.548,0.552,0.554
167,Lesotho,0.483,0.462,0.478,0.517,0.537,0.532,0.547,0.550
168,Pakistan,0.396,0.436,0.500,0.527,0.536,0.537,0.544,0.544
169,Senegal,0.377,0.398,0.477,0.509,0.522,0.522,0.526,0.530
170,Gambia,0.331,0.403,0.463,0.482,0.512,0.513,0.519,0.524
171,Democratic Republic of Congo,0.388,0.391,0.440,0.477,0.506,0.508,0.514,0.522
172,Malawi,0.306,0.394,0.475,0.504,0.512,0.509,0.513,0.517
173,Benin,0.351,0.415,0.485,0.511,0.504,0.506,0.512,0.515
174,Guinea-Bissau,..,..,0.452,0.481,0.498,0.502,0.511,0.514
175,Djibouti,..,0.337,0.421,0.469,0.499,0.501,0.510,0.513
176,Sudan,..,..,0.479,0.498,0.513,0.512,0.516,0.511
177,Liberia,..,0.443,0.467,0.480,0.498,0.503,0.508,0.510
178,Eritrea,..,..,0.465,0.480,0.495,0.496,0.499,0.503
179,Guinea,0.282,0.359,0.430,0.465,0.488,0.490,0.498,0.500
180,Ethiopia,..,0.293,0.415,0.456,0.486,0.487,0.494,0.497
181,Afghanistan,0.285,0.351,0.465,0.496,0.501,0.486,0.495,0.496
182,Mozambique,0.246,0.311,0.419,0.457,0.477,0.478,0.490,0.493
183,Madagascar,..,0.443,0.493,0.501,0.483,0.481,0.483,0.487
